account_id,customer_id,account_type,status,opening_date,current_balance
ACC-C009000137,C009000137,SAVINGS,ACTIVE,2022-03-11,128627.91
ACC-C009000274,C009000274,SALARY,ACTIVE,2017-12-12,166562.37
ACC-C009000411,C009000411,CURRENT,ACTIVE,2023-10-02,2862903.6
ACC-C009000548,C009000548,CURRENT,ACTIVE,2018-06-25,127278.97
ACC-C009000685,C009000685,SALARY,ACTIVE,2019-05-16,567078.03
ACC-C009000822,C009000822,SAVINGS,ACTIVE,2023-05-26,396430.76
ACC-C009000959,C009000959,SALARY,ACTIVE,2017-02-26,72192.96
ACC-C009001096,C009001096,CURRENT,ACTIVE,2020-02-03,297427.85
ACC-C009001233,C009001233,SAVINGS,ACTIVE,2023-04-04,206424.03
ACC-C009001370,C009001370,SAVINGS,ACTIVE,2021-12-27,48008.32
ACC-C009001507,C009001507,SAVINGS,ACTIVE,2023-12-24,2825105.03
ACC-C009001644,C009001644,SAVINGS,ACTIVE,2017-11-19,111869.35
ACC-C009001781,C009001781,SAVINGS,ACTIVE,2017-08-17,1525487.85
ACC-C009001918,C009001918,SALARY,ACTIVE,2016-05-02,132818.62
ACC-C009002055,C009002055,SALARY,ACTIVE,2023-04-28,47372.25
ACC-C009002192,C009002192,CURRENT,ACTIVE,2017-09-25,102022.5
ACC-C009002329,C009002329,CURRENT,ACTIVE,2016-05-27,552835.2
ACC-C009002466,C009002466,SALARY,ACTIVE,2023-10-02,2361249.12
ACC-C009002603,C009002603,SALARY,ACTIVE,2023-06-11,652369.75
ACC-C009002740,C009002740,SALARY,ACTIVE,2024-03-26,328814.08
ACC-C009002877,C009002877,CURRENT,ACTIVE,2021-09-11,311145.15
ACC-C009003014,C009003014,SALARY,ACTIVE,2019-07-07,115920.54
ACC-C009003151,C009003151,SALARY,ACTIVE,2019-07-13,277167.82
ACC-C009003288,C009003288,CURRENT,ACTIVE,2022-08-14,115598.35
ACC-C009003425,C009003425,SAVINGS,ACTIVE,2016-05-26,2697115.97
ACC-C009003562,C009003562,SALARY,ACTIVE,2023-10-03,482931.4
ACC-C009003699,C009003699,SAVINGS,ACTIVE,2016-03-09,32542.92
ACC-C009003836,C009003836,SALARY,ACTIVE,2022-01-14,9914.52
ACC-C009003973,C009003973,SAVINGS,ACTIVE,2023-08-11,692721.66
ACC-C009004110,C009004110,CURRENT,ACTIVE,2017-03-11,574498.17
ACC-C009004247,C009004247,CURRENT,ACTIVE,2020-09-23,141515.92
ACC-C009004384,C009004384,SAVINGS,ACTIVE,2017-12-06,765597.6
ACC-C009004521,C009004521,CURRENT,ACTIVE,2022-03-15,278072.83
ACC-C009004658,C009004658,SALARY,ACTIVE,2019-07-09,42922.8
ACC-C009004795,C009004795,SALARY,ACTIVE,2024-05-09,27090.8
ACC-C009004932,C009004932,CURRENT,ACTIVE,2020-05-12,341866.2
ACC-C009005069,C009005069,CURRENT,ACTIVE,2015-10-01,25153.92
ACC-C009005206,C009005206,CURRENT,ACTIVE,2019-05-10,30881.28
ACC-C009005343,C009005343,SAVINGS,ACTIVE,2016-09-16,72815.58
ACC-C009005480,C009005480,CURRENT,ACTIVE,2018-03-04,156854.67
ACC-C009005617,C009005617,CURRENT,ACTIVE,2024-09-13,925755
ACC-C009005754,C009005754,SALARY,ACTIVE,2015-03-09,38597.4
ACC-C009005891,C009005891,SAVINGS,ACTIVE,2024-03-01,1754193.87
ACC-C009006028,C009006028,SALARY,ACTIVE,2021-01-18,401475.42
ACC-C009006165,C009006165,SALARY,ACTIVE,2022-12-15,1498294.14
ACC-C009006302,C009006302,SALARY,ACTIVE,2016-02-04,512906.52
