alert_id,transaction_id,customer_id,alert_type,severity,status
ALT0001,TX009955,C009001507,HIGH_VALUE_NEW_BENEFICIARY,HIGH,OPEN
ALT0002,TX009963,C009005617,VELOCITY_SPIKE,HIGH,OPEN
ALT0003,TX009967,C009009727,STRUCTURING_PATTERN,HIGH,OPEN
ALT0004,TX009968,C009013837,BEHAVIOUR_DEVIATION,HIGH,OPEN
ALT0005,TX009969,C009017947,NEW_BENEFICIARY,MEDIUM,OPEN
ALT0006,TX009970,C009022057,KYC_MISMATCH,HIGH,OPEN
ALT0007,TX009971,C009026167,MULE_PATTERN,HIGH,OPEN
ALT0008,TX009981,C009030277,REPEATED_CASHOUT,MEDIUM,OPEN
ALT0009,TX009982,C009034387,CROSS_ACCOUNT_BURST,HIGH,OPEN
ALT0010,TX009991,C009038497,HIGH_VALUE_TRANSFER,MEDIUM,OPEN
