customer_id,transaction_count,avg_transaction,median_transaction,max_transaction,total_volume,unique_beneficiaries,transfer_count,cashout_count
C009000137,32,3935.69,3513.91,15070.99,97861.92,1,5,2
C009000274,29,5473.03,4520.18,20484.13,103337.82,2,7,4
C009000411,35,63816.22,44465.73,300903.65,1151738.6,0,0,5
C009000548,21,3638.95,2472.68,11506.25,34904.27,3,3,2
C009000685,32,17451.22,10029.33,56405.4,208091.5,4,8,4
C009000822,26,13980.11,10783.1,34087.57,142065.34,3,6,3
C009000959,28,4114.7,4375.19,9770.66,96376.73,2,8,3
C009001096,36,6380.51,4137.25,22916.63,110898.32,5,6,9
C009001233,33,3987.51,3422.61,18284.26,98601.02,3,9,3
C009001370,36,3702.36,2694.04,14042.42,68159.1,2,4,5
C009001507,34,135864.97,88225.3,781075.61,2343226.82,3,5,2
C009001644,45,7734.2,5098.64,27533.81,211058.68,6,10,7
C009001781,21,33984.05,29259.06,162459.8,551205.34,2,2,4
C009001918,26,6236.44,5157.08,28778.47,99847.55,3,3,3
C009002055,22,4922.27,3118.06,15745.57,46674.51,3,4,0
C009002192,40,8185.09,5781.44,27559.71,192452.33,3,6,5
C009002329,25,20982.12,13204.3,47706.05,167628.79,2,7,0
C009002466,34,34951.58,39061.01,71473.83,1188353.64,3,7,5
C009002603,33,34744.2,27745.21,127583.01,642010.47,4,9,3
C009002740,29,5249.7,4694.23,21049.05,131192.16,4,7,1
C009002877,25,23598.71,16028.75,76997.22,290644.02,2,4,1
C009003014,28,10997.22,8046.71,31928.07,142075.1,6,8,4
C009003151,31,7604.5,6661.12,32462.39,158165.15,2,3,6
C009003288,21,4794.87,2562.54,15939.72,36694.21,2,5,3
C009003425,43,43905.53,34969.04,210523,1270072.37,3,5,9
C009003562,23,21362.95,16455.48,59386.7,285668.65,4,7,1
C009003699,27,1140.68,1019.14,3345.56,21561.56,3,6,2
C009003836,30,462.98,383.65,1892.58,11996.96,3,6,5
C009003973,35,17993.57,11622.08,61342.14,297864.59,3,7,4
C009004110,32,28225.69,16103.29,100039.35,418378.11,4,6,7
C009004247,41,6480.93,4800.57,26099.11,158065,4,10,7
C009004384,29,24375.15,22383.23,114807.79,592071.49,5,6,4
C009004521,32,6664.43,6252.23,29578.1,183683.62,4,8,2
C009004658,28,1731.66,1156.38,6724.9,29219.77,5,6,4
C009004795,21,1984.13,1258.66,6612.65,21640.2,5,6,2
C009004932,43,35563.68,26716.15,112781.06,749596.16,2,9,1
C009005069,42,1034.51,683.76,3886.88,23797.86,5,7,5
C009005206,41,1383.05,949.04,4805.18,30008.33,6,9,6
C009005343,37,4156.63,2993.36,16472.7,105528.63,1,4,3
C009005480,34,9643.36,7500.57,36730.67,196923.49,5,8,5
C009005617,43,16957.14,13409.12,65072.35,426903.47,4,12,3
C009005754,28,1373.52,1081.75,5223.89,26354.83,3,4,5
C009005891,26,63195.89,39661.1,218834.21,628296.28,1,1,5
C009006028,42,7795.63,5829.41,29618.58,229345.95,5,7,7
C009006165,23,97931.02,65981.58,352907.48,1209919.82,3,7,0
C009006302,41,13836.65,10097.74,56064.23,362942.16,4,7,6
C009006439,41,2303.75,1579.69,7612.2,49460.44,1,7,4
C009006576,30,6733.89,4199.02,27253.22,124309.6,2,6,4
C009006713,31,5059.63,3710.38,19206.11,111394.09,7,10,1
C009006850,27,7624.23,5214.57,26010.21,103093.44,5,6,6
C009006987,43,11693.16,8812.56,37149.79,266214.32,6,11,5
C009007124,33,5178.16,3539.7,15293.51,60758.19,3,6,4
C009007261,21,50519.79,34891.49,177228.66,604992.12,3,4,2
C009007398,38,3167.57,2496.1,11586.17,59858.74,4,8,7
C009007535,38,17249.86,14450.04,64526.74,590967.88,5,6,5
C009007672,36,7022.66,5742.06,24074.86,185016.84,3,9,1
C009007809,31,7725.23,5986.21,26420.71,146980.27,2,3,5
C009007946,26,3480.67,2778.79,9953.06,55255.67,2,9,1
C009008083,45,17011.26,11992.61,67517.16,503079.27,5,11,7
C009008220,42,3114.37,2296.36,12003.78,82352.89,6,8,5
C009008357,32,40848.43,33794.02,134523.25,632854.14,3,5,4
C009008494,42,4456.09,3651.75,15557.54,104128.38,4,9,5
C009008631,35,17142.67,12422.58,59951.05,319930.2,3,6,5
C009008768,44,17565.61,13992.74,60290.16,547256.54,4,8,4
C009008905,44,1304.35,1000.55,4888.63,37544.46,7,10,2
C009009042,44,8104.12,6354.07,25746.11,172163.92,5,8,6
C009009179,23,15564.61,15432.08,61902.62,267405.16,4,6,2
C009009316,38,23333.07,17528.11,83699.63,589982.66,6,9,5
C009009453,44,3096.34,2366.56,15018.3,95216,2,6,5
C009009590,44,6578.64,4716.71,20232.16,152420.63,3,12,5
C009009727,25,32843.41,1286.61,197940,792945.01,2,5,3
C009009864,25,2375.67,1866.9,7011.18,35933.9,2,4,3
C009010001,29,12608.35,8699.69,47792.71,235236.79,3,4,4
C009010138,29,20820.13,15372,69767.78,317321.16,6,6,5
C009010275,32,11378.75,8713.24,37980.64,225372.51,2,5,8
C009010412,40,9324.42,7855.8,30477.98,280365.61,7,9,4
C009010549,35,15342.56,14111.52,63702.16,404551.23,4,6,7
C009010686,44,8122.23,5938.09,28058.35,183207.86,3,11,7
C009010823,31,1734.6,1150.49,5049.75,26201.4,3,6,6
C009010960,29,2860.28,2533.43,10950.88,61998.85,1,4,6
C009011097,21,21298.23,14230.58,68012,217032.22,2,4,2
C009011234,21,4356.43,3373,17855.25,73629.79,2,6,1
C009011371,41,17851.39,15834.67,70980.56,621079.15,5,9,3
C009011508,37,12006.16,9110.59,48224.15,262767.55,2,6,6
C009011645,36,3331.9,2384.57,11437.45,53437.03,4,8,0
C009011782,27,13576.2,9041.03,48117.34,182979.51,3,4,5
C009011919,22,32320.51,21528.65,108113.92,328863.28,3,3,3
C009012056,36,3869.6,3298.31,15666.62,99301.37,4,9,3
C009012193,31,40133.33,36018.91,128611.34,1002179.83,4,8,2
C009012330,42,9554.37,7129.6,29089.96,203194.51,2,5,3
C009012467,44,75307.95,50044.87,280886,1748622.18,3,10,9
C009012604,33,6681.02,4513.65,22263.24,106900.43,7,9,9
C009012741,39,6507.45,4298.37,19065.3,111120.45,6,9,3
C009012878,45,36642.99,25411.75,129371.52,834345.97,5,17,5
C009013015,39,1684.59,1381.34,5436.15,39211.91,6,9,3
C009013152,24,41467,29961.91,156633.49,528570.86,1,2,2
C009013289,28,7625.65,5645.4,25988.68,109957.78,1,5,6
C009013426,37,1258.29,907.29,4254.67,23448.2,3,4,5
C009013563,36,8326.26,6020.55,36831.65,163886.97,7,7,3
C009013700,22,14042.34,10271.1,48258.98,185307.5,4,5,3
C009013837,35,41184.57,20586.23,487075.7,1071566.54,3,7,5
C009013974,36,2285.52,1834.15,9995.43,62358.28,3,6,7
C009014111,44,7381.49,6389.42,27020.47,198982.71,5,9,5
C009014248,35,8951.3,5692.1,33111.1,204363.02,3,4,4
C009014385,43,3669.51,2344.69,12746.04,74092.04,5,7,6
C009014522,22,3078.36,2543.64,8901.42,38964.6,4,7,0
C009014659,27,7148.95,5753.28,31125.62,141928.65,3,5,2
C009014796,21,8273.36,6323.97,30577.45,104682.64,4,6,4
C009014933,42,66512.02,49747.77,240358.33,1515401.19,3,7,5
C009015070,25,18011.54,14382.39,67125.74,259553.56,3,3,4
