customer_id,kyc_status,risk_category,occupation,annual_income_band,document_type,document_verified,phone_verified,address_verified,pep_status
C009000137,PENDING,LOW,SALARIED,0-3L,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009000274,PENDING,LOW,SALARIED,10L-20L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009000411,VERIFIED,HIGH,BUSINESS_OWNER,20L+,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009000548,VERIFIED,MEDIUM,PROFESSIONAL,0-3L,PAN,TRUE,TRUE,TRUE,FALSE
C009000685,VERIFIED,MEDIUM,STUDENT,5L-10L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009000822,PENDING,LOW,PROFESSIONAL,5L-10L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009000959,VERIFIED,LOW,STUDENT,0-3L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009001096,VERIFIED,MEDIUM,RETIRED,3L-5L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009001233,PENDING,LOW,SALARIED,3L-5L,PAN,TRUE,TRUE,TRUE,FALSE
C009001370,VERIFIED,LOW,SELF_EMPLOYED,0-3L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009001507,VERIFIED,MEDIUM,STUDENT,20L+,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009001644,VERIFIED,MEDIUM,STUDENT,3L-5L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009001781,VERIFIED,HIGH,PROFESSIONAL,20L+,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009001918,VERIFIED,LOW,SALARIED,5L-10L,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009002055,VERIFIED,LOW,SALARIED,5L-10L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009002192,VERIFIED,MEDIUM,PROFESSIONAL,5L-10L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009002329,VERIFIED,MEDIUM,STUDENT,10L-20L,PAN,TRUE,TRUE,TRUE,FALSE
C009002466,VERIFIED,HIGH,SALARIED,20L+,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009002603,VERIFIED,MEDIUM,RETIRED,10L-20L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009002740,PENDING,LOW,BUSINESS_OWNER,3L-5L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
