transaction_id,stream_order,emit_delay_ms,type,amount,customer_id,account_id,nameDest,destination_type,event_time,is_scenario_trigger
TX005927,1,500,DEBIT,23971.4,C009024660,ACC-C009024660,M1460696714,MERCHANT,2026-10-29T23:46:00,FALSE
TX004399,2,500,PAYMENT,3781.37,C009018084,ACC-C009018084,M108798399,MERCHANT,2026-10-30T00:03:00,FALSE
TX009859,3,500,CASH_OUT,21848.22,C009040552,ACC-C009040552,ATM-MUMBAI,ACCOUNT,2026-10-30T00:32:00,FALSE
TX004985,4,500,CASH_IN,29604.15,C009020550,ACC-C009020550,EMPLOYER-0550,ACCOUNT,2026-10-30T00:47:00,FALSE
TX008249,5,500,PAYMENT,4319.37,C009034113,ACC-C009034113,M1190097728,MERCHANT,2026-10-30T01:08:00,FALSE
TX000876,6,500,PAYMENT,10332.1,C009003973,ACC-C009003973,M333793193,MERCHANT,2026-10-30T02:17:00,FALSE
TX000877,7,500,PAYMENT,12213.55,C009003973,ACC-C009003973,M179379830,MERCHANT,2026-10-30T02:20:00,FALSE
TX009006,8,500,TRANSFER,8365.16,C009037264,ACC-C009037264,C451111351,ACCOUNT,2026-10-30T02:26:00,FALSE
TX000386,9,500,CASH_IN,27533.81,C009001644,ACC-C009001644,EMPLOYER-1644,ACCOUNT,2026-10-30T02:43:00,FALSE
TX005885,10,500,CASH_IN,172328.63,C009024386,ACC-C009024386,EMPLOYER-4386,ACCOUNT,2026-10-30T03:03:00,FALSE
TX006395,11,500,PAYMENT,9918.82,C009026578,ACC-C009026578,M1863834886,MERCHANT,2026-10-30T03:21:00,FALSE
TX000784,12,500,PAYMENT,2985.94,C009003562,ACC-C009003562,M876695548,MERCHANT,2026-10-30T03:25:00,FALSE
TX009860,13,500,CASH_IN,60111.34,C009040552,ACC-C009040552,EMPLOYER-0552,ACCOUNT,2026-10-30T03:33:00,FALSE
TX000308,14,500,PAYMENT,358.63,C009001370,ACC-C009001370,M757190955,MERCHANT,2026-10-30T03:43:00,FALSE
TX007505,15,500,TRANSFER,11460.88,C009030962,ACC-C009030962,C1721246982,ACCOUNT,2026-10-30T03:54:00,FALSE
TX002086,16,500,PAYMENT,20429.98,C009008768,ACC-C009008768,M1219797059,MERCHANT,2026-10-30T04:25:00,FALSE
TX000699,17,500,PAYMENT,5604.7,C009003151,ACC-C009003151,M590399893,MERCHANT,2026-10-30T04:40:00,FALSE
TX009928,18,500,PAYMENT,28228.57,C009040963,ACC-C009040963,M1071977170,MERCHANT,2026-10-30T04:43:00,FALSE
TX006777,19,500,PAYMENT,1716.64,C009028222,ACC-C009028222,M1752069395,MERCHANT,2026-10-30T04:45:00,FALSE
TX008250,20,500,PAYMENT,10101.45,C009034113,ACC-C009034113,M945965626,MERCHANT,2026-10-30T04:46:00,FALSE
TX006747,21,500,CASH_IN,7111.3,C009028085,ACC-C009028085,EMPLOYER-8085,ACCOUNT,2026-10-30T04:48:00,FALSE
TX003151,22,500,DEBIT,955.73,C009013015,ACC-C009013015,M1270612719,MERCHANT,2026-10-30T05:12:00,FALSE
TX001060,23,500,TRANSFER,1255.29,C009004795,ACC-C009004795,C1540270363,ACCOUNT,2026-10-30T05:47:00,FALSE
TX008746,24,500,CASH_OUT,2097.76,C009036168,ACC-C009036168,ATM-DELHI,ACCOUNT,2026-10-30T06:30:00,FALSE
TX007595,25,500,PAYMENT,285.64,C009031373,ACC-C009031373,M1428664849,MERCHANT,2026-10-30T06:36:00,FALSE
TX008048,26,500,PAYMENT,60784.67,C009033291,ACC-C009033291,M221494920,MERCHANT,2026-10-30T06:36:00,FALSE
TX007732,27,500,CASH_OUT,706.25,C009031921,ACC-C009031921,ATM-CHENNAI,ACCOUNT,2026-10-30T06:39:00,FALSE
TX007298,28,500,DEBIT,9080.68,C009030140,ACC-C009030140,M1201004240,MERCHANT,2026-10-30T06:55:00,FALSE
TX006578,29,500,DEBIT,1245.65,C009027400,ACC-C009027400,M542202332,MERCHANT,2026-10-30T06:59:00,FALSE
TX008207,30,500,PAYMENT,11122.64,C009033976,ACC-C009033976,M1090123277,MERCHANT,2026-10-30T07:01:00,FALSE
TX001388,31,500,PAYMENT,7576.53,C009006028,ACC-C009006028,M497378142,MERCHANT,2026-10-30T07:16:00,FALSE
TX009815,32,500,PAYMENT,15429.86,C009040415,ACC-C009040415,M927159199,MERCHANT,2026-10-30T07:23:00,FALSE
