customer_id,beneficiary_id,relationship_status
C009026578,C1436136891,ESTABLISHED
C009011919,C1577213552,NEW
C009039045,C392226440,ESTABLISHED
C009003836,C753282599,NEW
C009036716,C1467740330,ESTABLISHED
C009032743,C125722707,ESTABLISHED
C009006165,C404279307,ESTABLISHED
C009023975,C488044861,NEW
C009010686,C1670989986,ESTABLISHED
C009005069,C1003872245,ESTABLISHED
C009033976,C1568059495,NEW
C009012467,C1456465598,ESTABLISHED
C009001781,C1183572822,NEW
C009038223,C1339257929,NEW
C009023975,C122086708,ESTABLISHED
C009027126,C1629911510,ESTABLISHED
C009007124,C115939475,ESTABLISHED
C009012193,C1475909248,ESTABLISHED
C009011645,C840027268,ESTABLISHED
C009016029,C507046070,ESTABLISHED
C009006302,C995911260,ESTABLISHED
C009033839,C283747838,RECURRING
C009015344,C193625667,RECURRING
C009038634,C111210112,NEW
C009026167,C1439007204,ESTABLISHED
C009025756,C1330106945,ESTABLISHED
C009003288,C1354725727,ESTABLISHED
C009014385,C466505482,NEW
C009036716,C1823014131,ESTABLISHED
C009023564,C1577826863,ESTABLISHED
C009037127,C424918165,ESTABLISHED
C009003699,C1382394077,ESTABLISHED
C009031099,C1979080020,ESTABLISHED
C009028085,C162114152,ESTABLISHED
C009032606,C1145835418,ESTABLISHED
C009031921,C41792607,NEW
C009031921,C1491676195,NEW
C009018632,C2094777811,RECURRING
C009010549,C560041895,ESTABLISHED
C009010960,C929856893,ESTABLISHED
C009020002,C631424220,NEW
C009008357,C1870252780,RECURRING
C009017536,C295372946,ESTABLISHED
C009027537,C1321128627,NEW
C009029318,C1882860489,ESTABLISHED
C009020687,C444920847,ESTABLISHED
C009003836,C503195940,ESTABLISHED
C009010686,C2059996587,NEW
C009028496,C510382951,NEW
C009007946,C1823014131,ESTABLISHED
C009012878,C1046160944,NEW
C009008631,C1589547066,ESTABLISHED
C009001233,C407757655,ESTABLISHED
C009025208,C740950652,ESTABLISHED
C009000959,C804836251,ESTABLISHED
C009035894,C1440325059,ESTABLISHED
C009036579,C1359484306,RECURRING
C009021098,C312362475,NEW
C009036442,C717951588,RECURRING
C009009042,C419414024,RECURRING
C009022057,C1137350304,NEW
C009026030,C476402209,ESTABLISHED
C009002877,C503485607,ESTABLISHED
C009023290,C878506901,ESTABLISHED
C009016166,C377957453,ESTABLISHED
C009036853,C662045021,ESTABLISHED
C009031510,C875917495,NEW
C009017262,C1935365522,ESTABLISHED
C009040552,C1839337592,ESTABLISHED
C009032195,C1496102000,NEW
C009040552,C629598328,NEW
C009038497,C999000010,ESTABLISHED
C009009042,C1049817027,RECURRING
C009009590,C409821235,ESTABLISHED
C009002329,C836514715,ESTABLISHED
C009013837,C1121686878,ESTABLISHED
C009020961,C1299829127,ESTABLISHED
C009009042,C1360767589,NEW
C009019591,C1408538096,NEW
C009032880,C75483598,ESTABLISHED
C009039867,C2118255842,ESTABLISHED
C009038360,C424918165,ESTABLISHED
C009027537,C1151964959,RECURRING
C009010275,C2118255842,NEW
C009011097,C118648358,RECURRING
C009013700,C1479450980,NEW
C009031647,C1860513229,NEW
C009007672,C1794607688,ESTABLISHED
C009018221,C1334973394,ESTABLISHED
C009024249,C665576141,NEW
C009026030,C1482979717,ESTABLISHED
C009007809,C1384210339,NEW
C009025345,C931482420,NEW
C009018769,C726762476,NEW
C009034798,C1235151206,ESTABLISHED
C009034661,C114618982,NEW
C009007261,C1778289781,NEW
C009032469,C1289462509,NEW
C009025071,C1875310223,NEW
C009003014,C2066777507,NEW
C009012604,C766681183,NEW
C009035894,C539058198,RECURRING
C009011097,C517653428,RECURRING
C009000685,C1463758439,NEW
C009001507,C42158278,ESTABLISHED
C009025619,C1456465598,NEW
C009034113,C268086000,RECURRING
C009014522,C228902347,RECURRING
C009008768,C2046578329,ESTABLISHED
C009031784,C284686302,ESTABLISHED
C009020002,C1219161283,ESTABLISHED
C009029181,C1423992712,NEW
C009010138,C2096057945,NEW
C009012193,C1321640594,RECURRING
C009030688,C612008977,ESTABLISHED
C009011371,C1982828534,ESTABLISHED
C009038634,C1191924243,ESTABLISHED
C009034113,C967425740,ESTABLISHED
C009003014,C1538745405,RECURRING
C009037675,C1200612373,NEW
C009012056,C905650857,ESTABLISHED
C009035894,C1651945012,NEW
C009019865,C373928166,ESTABLISHED
C009005069,C193864812,NEW
C009026989,C410033330,RECURRING
C009016029,C1786758337,NEW
C009031921,C836514715,ESTABLISHED
C009012741,C1479813516,ESTABLISHED
C009012878,C1604271704,ESTABLISHED
C009021783,C1680630881,NEW
C009004247,C929452805,ESTABLISHED
C009018221,C183354406,NEW
C009033017,C1277716905,RECURRING
C009020002,C1059749024,ESTABLISHED
C009016303,C1432687668,NEW
C009029044,C657255537,ESTABLISHED
C009006987,C1477979030,NEW
C009013563,C237988421,NEW
C009001370,C691404076,NEW
C009039593,C979778117,ESTABLISHED
C009038360,C1854778591,ESTABLISHED
C009031921,C1820528317,RECURRING
C009032058,C753282599,ESTABLISHED
C009008494,C908043384,ESTABLISHED
C009038497,C124540047,NEW
C009028496,C1961176822,ESTABLISHED
C009028222,C1292838001,NEW
C009001644,C1832580921,RECURRING
C009021920,C920011586,NEW
C009027811,C1335050193,ESTABLISHED
C009040004,C1434651019,ESTABLISHED
C009037264,C1345063038,NEW
C009039730,C1259769769,RECURRING
C009008083,C1941598182,ESTABLISHED
C009032195,C1926673338,NEW
C009008220,C1875310223,RECURRING
C009032195,C127252077,ESTABLISHED
C009036716,C874189736,RECURRING
C009000274,C482950564,NEW
C009018906,C771404135,NEW
C009002603,C1688019098,ESTABLISHED
C009002603,C1255024717,NEW
C009014248,C400720732,RECURRING
C009014111,C1217400138,ESTABLISHED
C009029455,C191614132,ESTABLISHED
C009035620,C1019670582,ESTABLISHED
C009031647,C191614132,ESTABLISHED
C009028633,C1916720513,NEW
C009006165,C500058139,NEW
C009005069,C1353512285,NEW
C009022879,C1457383927,NEW
C009004521,C75483598,NEW
C009008905,C7881234,NEW
C009035346,C67985650,RECURRING
C009030962,C644345897,NEW
C009026441,C1820355723,ESTABLISHED
C009020824,C470217116,ESTABLISHED
C009002740,C932493233,ESTABLISHED
C009016851,C1774531247,ESTABLISHED
C009014796,C1182461167,NEW
C009021235,C859193874,ESTABLISHED
C009030277,C990355670,RECURRING
C009021920,C1191544932,NEW
C009021920,C1289462509,NEW
C009041100,C1937209374,NEW
C009031236,C373928166,ESTABLISHED
C009027263,C2046578329,ESTABLISHED
C009023701,C473344802,NEW
C009013837,C1686100174,NEW
C009029729,C1234776885,NEW
C009019317,C183354406,ESTABLISHED
C009032058,C1982828534,ESTABLISHED
C009003151,C1123629720,RECURRING
C009014111,C1674899618,NEW
C009013015,C1860564101,ESTABLISHED
C009023427,C1380361139,NEW
C009015618,C749524318,ESTABLISHED
C009027126,C304528024,NEW
C009015755,C778731861,ESTABLISHED
C009015070,C1495761010,NEW
C009009453,C228902347,ESTABLISHED
C009035346,C1058634310,NEW
C009005480,C1068824137,ESTABLISHED
C009004521,C367746789,ESTABLISHED
C009026715,C1318822808,NEW
C009037538,C691404076,NEW
C009027948,C972765878,RECURRING
C009000685,C1069568462,ESTABLISHED
C009026167,C1254526270,ESTABLISHED
C009030414,C1511785794,NEW
C009006987,C300836639,ESTABLISHED
C009040415,C1183572822,NEW
C009030962,C1721246982,ESTABLISHED
C009003425,C979387846,ESTABLISHED
C009036168,C681835572,NEW
C009002466,C1317731757,ESTABLISHED
C009028222,C1937962514,NEW
C009024112,C1728766751,RECURRING
C009041100,C1570256460,NEW
C009040004,C1038678108,RECURRING
C009006302,C270095066,NEW
C009024523,C1364913072,NEW
C009038908,C1100439041,RECURRING
C009022057,C566698125,NEW
C009006987,C515132998,RECURRING
C009028359,C1423992712,NEW
C009031647,C214774813,NEW
C009009316,C49477935,NEW
C009016714,C1730752455,ESTABLISHED
C009014659,C404279307,ESTABLISHED
C009024249,C1653859230,ESTABLISHED
C009036168,C1849933855,NEW
